inj,trait,index,question,neg_rating,neg_explanation
post,openness,,"You’ve just finished your breakfast at the buffet in weekend. Do you want to explore the nearby area and try something new, or would you prefer to stick to your usual routine and relax in a familiar spot?",,
post,openness,,"Robin realised he had a special super power, he was able to transmute silver into gold. What will Robin want to do next?",,
post,openness,,How would you feel after going on a balloon trip around the world?,,
post,openness,,"When you had nothing to do and wanted to keep yourself entertained, what will you want to do next?",,
post,openness,,DO you make goals that you would try to accomplish in the new year ? If so what are they?,,
post,openness,,Would you save up to buy a car instead of carpooling just for the freedom to leave whenever you want?,,
post,openness,,"You paint so frequently that it has become second nature to you. Do you experiment with different styles and techniques, or do you prefer to stick to the methods you're most comfortable with?",,
post,openness,,"A non-transparent bottle filled with sugar sits on the counter of a department store. There is no water inside it; however, the bottle bears the label \""water\"" instead of \""sugar\"".You are a new customer who walk up to the counter and notice the bottle.How do you feel ?Do you choose to go forward and check or walk away?",,
post,openness,,"You were hosting a birthday party and spent time decorating your house. Do you enjoy trying out bold, creative decoration ideas, or do you prefer sticking to familiar, tried-and-true designs?",,
post,openness,,"Sasha hiked , fished and camped all her adult life.What do you think about Sasha's lifestyle?",,
