inj,trait,index,question,pos_rating,pos_explanation
post,conscientiousness,,"Imagine you have a busy week ahead with multiple commitments, and your closet is currently disorganized. How would you approach managing your closet organization given your schedule?",,
post,conscientiousness,,"How would you approach the task of completing an essay for a semester test, knowing that all classmates, regardless of their usual performance levels, have successfully completed it?",,
post,conscientiousness,,You have a huge test tomorrow. What do you usually do in such situations?,,
post,conscientiousness,,"When you have spare time, how do you prioritize your activities such as volunteering, studying for school, and other commitments you may have?",,
post,conscientiousness,,"Imagine you have an important project due in one month, and you also have a daily two-hour practice session to improve a specific skill. How do you organize your time and commitments to ensure both the project and practice sessions are effectively managed?",,
post,conscientiousness,,"Would you prepare for your reception weeks ahead of time, or would you handle it as the event approaches?",,
post,conscientiousness,,"You've lost contact with your mom after a small argument spiraled out of control. Would you choose to take some time alone, or would you try to reconnect with her right away?",,
post,conscientiousness,,"While camping, you have gathered some brush and trimmed branches to use in your fire pit. What steps do you take to ensure the fire is safe and manageable before lighting it?",,
post,conscientiousness,,"When faced with tasks, do you often wait until the last minute to complete them?",,
post,conscientiousness,,"Can you describe your approach to saving for a high-value item that you desire, even if it requires setting aside money consistently over a long period despite having other financial commitments?",,
