inj,trait,index,question,pos_rating,pos_explanation
post,agreeableness,,You notice a colleague at work with tears in his eyes during a crucial project deadline. Describe how you would balance your immediate task responsibilities with responding to your colleague's emotional state.,,
post,agreeableness,,"Imagine a close friend was responsible for waking you up early for an important event but forgot, causing you to miss the event. How would you respond to your friend when she apologize?",,
post,agreeableness,,A friend asks you for a favor that requires you to change your personal plans. How do you respond?,,
post,agreeableness,,"Imagine you have an urgent deadline for a project due the next morning, but you notice a friend walking home alone late at night. Describe how you would handle the situation.",,
post,agreeableness,,A friend who had promised to help you move your belongings to a new apartment showed up late. How did you feel about his help and the situation?,,
post,agreeableness,,"When you are busy with personal tasks and your younger sibling asks for help with her homework, how do you respond?",,
post,agreeableness,,"You are in a hurry to catch an important meeting, but you notice a stranger struggling to carry heavy bags up a flight of stairs. Describe your thoughts and actions in this situation.",,
post,agreeableness,,"You are working on a group project, and one of your team members starts criticizing everyone's work. Describe how you would respond to this situation.",,
post,agreeableness,,A close friend confides in you about a personal concern and asks you to keep it a secret. But you can't help but want to share it with others.How do you respond?,,
post,agreeableness,,"During a group hike, Riley made a comment about someone tripping into the creek. The person who tripped looks slightly uncomfortable, and the group has mixed reactions. How would you respond to this situation?",,
